,0,71
,1,43
,2,43
,3,84
,4,77
,5,76
,6,62
,7,72
,8,76
,9,97
,10,69
,11,82
,12,59
,13,61
,14,67
,15,75
,16,79
,17,43
,18,43
,19,43
,20,43
,21,43
,22,43
,23,43
,24,43
,25,43
,26,43
,27,43
,28,43
,29,43
,30,43
,31,43
,32,43
,33,43
,34,43
,35,43
,36,43
,37,43
,38,43
,39,43
,40,43
,41,43
,42,43
,43,43
,44,43
,45,43
,46,43
,47,43
,48,43
,49,43
,50,43
,51,43
,52,43
,53,43
,54,43
,55,43
,56,43
,57,43
,58,43
,59,43
,60,43
,61,43
,62,43
,63,43
,64,43
,65,43
,66,43
,67,43
,68,43
,69,43
,70,43
,71,43
,72,43
,73,43
,74,43
,75,43
,76,43
,77,43
,78,43
,79,43
,80,43
,81,43
,82,43
,83,43
,84,43
,85,43
,86,43
,87,43
,88,43
,89,43
,90,43
,91,43
,92,43
,93,43
,94,43
,95,43
,96,43
,97,43
,98,43
,99,43
,100,43
,101,43
,102,43
,103,43
,104,43
,105,43
,106,43
,107,43
,108,43
,109,43
,110,43
,111,43
,112,43
,113,43
,114,43
,115,43
,116,43
,117,43
,118,43
,119,43
,120,43
,121,43
,122,43
,123,43
,124,43
,125,43
,126,43
,127,43
,128,43
,129,43
,130,43
,131,43
,132,43
,133,43
,134,43
,135,43
,136,43
,137,43
,138,43
,139,43
,140,43
,141,43
,142,43
,143,43
,144,43
,145,43
,146,43
,147,43
,148,43
,149,43
,150,43
,151,43
,152,43
,153,43
,154,43
,155,43
,156,43
,157,43
,158,43
,159,43
,160,43
,161,43
,162,43
,163,43
,164,43
,165,43
,166,43
,167,43
,168,43
,169,43
,170,43
,171,43
,172,43
,173,43
,174,43
,175,43
,176,43
,177,43
,178,43
,179,43
,180,43
,181,43
,182,43
,183,43
,184,43
,185,43
,186,43
,187,43
,188,43
,189,43
,190,43
,191,43
,192,43
,193,43
,194,43
,195,43
,196,43
,197,43
,198,43
,199,43
